[2026-09-20T11:08:23Z] === ENRICH ITERATION 5 START | repo=mhammond/pywin32 sha=ee8ff7ba ===
[2026-09-20T13:27:44Z] [iter=5] HEARTBEAT target_type=call_site elapsed_min=139.3 files_done=140 resolved=307 errors=2102 current=com/win32comext/axdebug/src/PyIDebugApplicationThread.cpp
[2026-09-20T13:28:36Z] [iter=5] HEARTBEAT target_type=call_site elapsed_min=140.2 files_done=146 resolved=307 errors=2114 current=win32/src/PerfMon/MappingManager.cpp
[2026-09-20T13:30:59Z] [iter=5] HEARTBEAT target_type=call_site elapsed_min=142.6 files_done=149 resolved=318 errors=2147 current=Pythonwin/ddemodule.cpp
[2026-09-20T13:32:43Z] [iter=5] HEARTBEAT target_type=call_site elapsed_min=144.3 files_done=150 resolved=318 errors=2171 current=com/win32comext/axdebug/src/PyIEnumDebugExpressionContexts.cpp
[2026-09-20T13:37:22Z] [iter=5] HEARTBEAT target_type=call_site elapsed_min=149.0 files_done=154 resolved=319 errors=2235 current=Pythonwin/pythoncbar.h
[2026-09-20T13:37:57Z] [iter=5] HEARTBEAT target_type=call_site elapsed_min=149.6 files_done=158 resolved=319 errors=2243 current=com/TestSources/PyCOMTest/DSCArrayTest.h
[2026-09-20T13:38:36Z] [iter=5] HEARTBEAT target_type=call_site elapsed_min=150.2 files_done=161 resolved=319 errors=2252 current=com/win32comext/shell/src/PyIShellFolder2.cpp
[2026-09-20T13:39:37Z] [iter=5] HEARTBEAT target_type=call_site elapsed_min=151.2 files_done=162 resolved=319 errors=2266 current=com/win32com/src/include/PyFactory.h
[2026-09-20T13:40:07Z] [iter=5] HEARTBEAT target_type=call_site elapsed_min=151.7 files_done=168 resolved=319 errors=2273 current=Pythonwin/win32ui.h
[2026-09-20T13:42:21Z] [iter=5] HEARTBEAT target_type=call_site elapsed_min=154.0 files_done=170 resolved=323 errors=2304 current=com/win32comext/axcontrol/src/PyIOleClientSite.cpp
[2026-09-20T13:43:22Z] [iter=5] HEARTBEAT target_type=call_site elapsed_min=155.0 files_done=171 resolved=323 errors=2318 current=com/win32comext/axcontrol/src/PyIOleInPlaceActiveObject.cpp
[2026-09-20T13:43:52Z] [iter=5] HEARTBEAT target_type=call_site elapsed_min=155.5 files_done=174 resolved=323 errors=2325 current=win32/src/PerfMon/PerfCounterDefn.cpp
[2026-09-20T13:44:35Z] [iter=5] HEARTBEAT target_type=call_site elapsed_min=156.2 files_done=176 resolved=323 errors=2335 current=Pythonwin/Scintilla/src/ViewStyle.cxx
[2026-09-20T13:45:27Z] [iter=5] HEARTBEAT target_type=call_site elapsed_min=157.1 files_done=177 resolved=326 errors=2347 current=Pythonwin/Scintilla/src/LexPowerShell.cxx
[2026-09-20T13:47:23Z] [iter=5] HEARTBEAT target_type=call_site elapsed_min=159.0 files_done=178 resolved=327 errors=2374 current=Pythonwin/win32context.cpp
[2026-09-20T13:47:58Z] [iter=5] HEARTBEAT target_type=call_site elapsed_min=159.6 files_done=182 resolved=327 errors=2382 current=win32/src/PySID.cpp
[2026-09-20T13:48:28Z] [iter=5] HEARTBEAT target_type=call_site elapsed_min=160.1 files_done=185 resolved=327 errors=2389 current=com/win32comext/axscript/src/PyIObjectSafety.cpp
[2026-09-20T13:49:51Z] [iter=5] HEARTBEAT target_type=call_site elapsed_min=161.5 files_done=193 resolved=327 errors=2408 current=com/win32comext/axcontrol/src/PyIOleInPlaceSiteEx.h
[2026-09-20T13:50:43Z] [iter=5] HEARTBEAT target_type=call_site elapsed_min=162.3 files_done=194 resolved=327 errors=2420 current=win32/src/PyWinObjects.h
[2026-09-20T13:51:13Z] [iter=5] HEARTBEAT target_type=call_site elapsed_min=162.8 files_done=205 resolved=328 errors=2439 current=Pythonwin/Scintilla/src/LexAPDL.cxx
[2026-09-20T13:53:36Z] [iter=5] HEARTBEAT target_type=call_site elapsed_min=165.2 files_done=206 resolved=335 errors=2472 current=Pythonwin/win32dlgbar.cpp
[2026-09-20T13:55:38Z] [iter=5] HEARTBEAT target_type=call_site elapsed_min=167.2 files_done=211 resolved=335 errors=2500 current=com/win32comext/axscript/src/PyGActiveScriptParse.cpp
[2026-09-20T13:56:47Z] [iter=5] HEARTBEAT target_type=call_site elapsed_min=168.4 files_done=215 resolved=335 errors=2516 current=com/win32com/src/extensions/PyIPersistStreamInit.cpp
[2026-09-20T13:59:10Z] [iter=5] HEARTBEAT target_type=call_site elapsed_min=170.8 files_done=217 resolved=335 errors=2549 current=com/win32comext/axdebug/src/PyIDebugSessionProvider.cpp
[2026-09-20T13:59:40Z] [iter=5] HEARTBEAT target_type=call_site elapsed_min=171.3 files_done=220 resolved=335 errors=2556 current=com/win32comext/shell/src/shell_pch.h
[2026-09-20T14:00:11Z] [iter=5] HEARTBEAT target_type=call_site elapsed_min=171.8 files_done=224 resolved=335 errors=2563 current=com/win32comext/axdebug/src/PyIDebugApplicationNodeEvents.cpp
[2026-09-20T14:00:54Z] [iter=5] HEARTBEAT target_type=call_site elapsed_min=172.5 files_done=227 resolved=335 errors=2573 current=com/win32comext/shell/src/PyIEmptyVolumeCacheCallBack.cpp
[2026-09-20T14:02:38Z] [iter=5] HEARTBEAT target_type=call_site elapsed_min=174.2 files_done=236 resolved=335 errors=2597 current=com/win32comext/shell/src/PyIExplorerCommandProvider.cpp
[2026-09-20T14:03:08Z] [iter=5] HEARTBEAT target_type=call_site elapsed_min=174.8 files_done=239 resolved=335 errors=2604 current=Pythonwin/win32hl.h
[2026-09-20T14:03:39Z] [iter=5] HEARTBEAT target_type=call_site elapsed_min=175.3 files_done=243 resolved=335 errors=2611 current=Pythonwin/Scintilla/src/Indicator.cxx
[2026-09-20T14:05:14Z] [iter=5] HEARTBEAT target_type=call_site elapsed_min=176.8 files_done=244 resolved=335 errors=2633 current=Pythonwin/Scintilla/src/CellBuffer.h
[2026-09-20T14:05:44Z] [iter=5] HEARTBEAT target_type=call_site elapsed_min=177.3 files_done=250 resolved=336 errors=2640 current=Pythonwin/Scintilla/src/CharClassify.cxx
[2026-09-20T14:06:14Z] [iter=5] HEARTBEAT target_type=call_site elapsed_min=177.9 files_done=253 resolved=337 errors=2647 current=com/TestSources/PyCOMTest/Connect.cpp
[2026-09-20T14:06:45Z] [iter=5] HEARTBEAT target_type=call_site elapsed_min=178.4 files_done=260 resolved=337 errors=2654 current=Pythonwin/win32gdi.h
[2026-09-20T14:08:21Z] [iter=5] HEARTBEAT target_type=call_site elapsed_min=180.0 files_done=267 resolved=337 errors=2676 current=com/win32comext/directsound/src/PyDSCBCAPS.cpp
[2026-09-20T14:08:51Z] [iter=5] HEARTBEAT target_type=call_site elapsed_min=180.5 files_done=269 resolved=337 errors=2683 current=com/win32comext/shell/src/PyIPersistFolder.cpp
[2026-09-20T14:09:21Z] [iter=5] HEARTBEAT target_type=call_site elapsed_min=181.0 files_done=275 resolved=337 errors=2690 current=Pythonwin/ddeitem.cpp
[2026-09-20T14:09:56Z] [iter=5] HEARTBEAT target_type=call_site elapsed_min=181.5 files_done=279 resolved=337 errors=2698 current=com/win32com/src/include/PyIStream.h
[2026-09-20T14:10:26Z] [iter=5] HEARTBEAT target_type=call_site elapsed_min=182.1 files_done=290 resolved=337 errors=2705 current=Pythonwin/pythonRichEditCntr.h
[2026-09-20T14:11:01Z] [iter=5] HEARTBEAT target_type=call_site elapsed_min=182.6 files_done=299 resolved=337 errors=2713 current=Pythonwin/win32oleDlgs.cpp
[2026-09-20T14:11:32Z] [iter=5] HEARTBEAT target_type=call_site elapsed_min=183.1 files_done=308 resolved=337 errors=2720 current=com/win32comext/axdebug/src/PyIDebugStackFrameSnifferEx.h
[2026-09-20T14:12:21Z] [iter=5] HEARTBEAT target_type=call_site elapsed_min=184.0 files_done=317 resolved=339 errors=2730 current=com/win32com/test/testxslt.js
[2026-09-20T14:12:21Z] [iter=5] Target type resolved target_type=call_site resolved=345 errors=2730 secs=10824 mem_mb=2136 MB
[2026-09-20T14:12:21Z] [iter=5] Resolving target type target_type=extends_clause count=600
[2026-09-20T14:12:26Z] [iter=5] Target type resolved target_type=extends_clause resolved=513 errors=0 secs=5 mem_mb=2136 MB
[2026-09-20T14:12:53Z] [iter=5] Step 5: Writing final enrichment file triples=391292
[2026-09-20T14:13:01Z] [iter=5] Enrichment file written path=/home/runner/work/forx/forx/storage/aggregate/lsp/ee8ff7ba36a11e59732c55b5d01434a16a90818d.nq.gz size_kb=10261
[2026-09-20T14:13:01Z] [iter=5] Checkpoint cleared (enrichment complete)
[2026-09-20T14:13:01Z] [iter=5] PHASE END: enrich elapsed_s=11078 elapsed_min=184.6 total_triples=391292
